[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,98.0,98.0]
Nodo [1][2.0,(1,0),0,S,1,97.0,99.0]
Nodo [3][5.0,(1,1),1,E,2,96.0,101.0]
Nodo [5][6.0,(1,2),3,E,3,95.0,101.0]
Nodo [9][7.0,(1,3),5,E,4,94.0,101.0]
Nodo [12][8.0,(1,4),9,E,5,93.0,101.0]
Nodo [15][10.0,(2,4),12,S,6,92.0,102.0]
Nodo [33][11.0,(2,5),15,E,7,91.0,102.0]
Nodo [37][12.0,(3,5),33,S,8,90.0,102.0]
Nodo [48][13.0,(4,5),37,S,9,89.0,102.0]
Nodo [60][14.0,(5,5),48,S,10,88.0,102.0]
Nodo [67][16.0,(6,5),60,S,11,87.0,103.0]
Nodo [111][17.0,(7,5),67,S,12,86.0,103.0]
Nodo [126][18.0,(8,5),111,S,13,85.0,103.0]
Nodo [138][19.0,(9,5),126,S,14,84.0,103.0]
Nodo [143][20.0,(9,6),138,E,15,83.0,103.0]
Nodo [146][21.0,(10,6),143,S,16,82.0,103.0]
Nodo [154][22.0,(11,6),146,S,17,81.0,103.0]
Nodo [165][23.0,(12,6),154,S,18,80.0,103.0]
Nodo [174][24.0,(12,7),165,E,19,79.0,103.0]
Nodo [177][25.0,(12,8),174,E,20,78.0,103.0]
Nodo [180][26.0,(12,9),177,E,21,77.0,103.0]
Nodo [183][27.0,(13,9),180,S,22,76.0,103.0]
Nodo [193][28.0,(13,10),183,E,23,75.0,103.0]
Nodo [197][29.0,(14,10),193,S,24,74.0,103.0]
Nodo [203][30.0,(15,10),197,S,25,73.0,103.0]
Nodo [210][32.0,(16,10),203,S,26,72.0,104.0]
Nodo [367][34.0,(17,10),210,S,27,71.0,105.0]
Nodo [540][35.0,(18,10),367,S,28,70.0,105.0]
Nodo [544][36.0,(19,10),540,S,29,69.0,105.0]
Nodo [557][38.0,(19,9),544,O,30,70.0,108.0]
Nodo [1068][39.0,(20,9),557,S,31,69.0,108.0]
Nodo [1076][40.0,(21,9),1068,S,32,68.0,108.0]
Nodo [1085][41.0,(21,10),1076,E,33,67.0,108.0]
Nodo [1089][42.0,(22,10),1085,S,34,66.0,108.0]
Nodo [1095][43.0,(23,10),1089,S,35,65.0,108.0]
Nodo [1107][44.0,(23,11),1095,E,36,64.0,108.0]
Nodo [1111][45.0,(24,11),1107,S,37,63.0,108.0]
Nodo [1126][47.0,(25,11),1111,S,38,62.0,109.0]
Nodo [1331][50.0,(26,11),1126,S,39,61.0,111.0]
Nodo [1643][54.0,(27,11),1331,S,40,60.0,114.0]
Nodo [2212][55.0,(28,11),1643,S,41,59.0,114.0]
