[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,73.0,73.0]
Nodo [1][3.0,(0,1),0,E,1,72.0,72.0]
Nodo [3][7.0,(0,2),1,E,2,71.0,71.0]
Nodo [5][10.0,(0,3),3,E,3,70.0,70.0]
Nodo [7][11.0,(0,4),5,E,4,69.0,69.0]
Nodo [10][12.0,(0,5),7,E,5,68.0,68.0]
Nodo [13][13.0,(0,6),10,E,6,67.0,67.0]
Nodo [16][14.0,(0,7),13,E,7,66.0,66.0]
Nodo [19][15.0,(0,8),16,E,8,65.0,65.0]
Nodo [21][18.0,(0,9),19,E,9,64.0,64.0]
Nodo [23][22.0,(0,10),21,E,10,63.0,63.0]
Nodo [26][25.0,(1,10),23,S,11,62.0,62.0]
Nodo [29][26.0,(1,11),26,E,12,61.0,61.0]
Nodo [33][27.0,(2,11),29,S,13,60.0,60.0]
Nodo [38][28.0,(2,12),33,E,14,59.0,59.0]
Nodo [41][30.0,(2,13),38,E,15,58.0,58.0]
Nodo [44][31.0,(3,13),41,S,16,57.0,57.0]
Nodo [47][35.0,(4,13),44,S,17,56.0,56.0]
Nodo [50][38.0,(4,14),47,E,18,55.0,55.0]
Nodo [53][39.0,(5,14),50,S,19,54.0,54.0]
Nodo [56][40.0,(5,15),53,E,20,53.0,53.0]
Nodo [59][44.0,(5,16),56,E,21,52.0,52.0]
Nodo [63][45.0,(5,17),59,E,22,51.0,51.0]
Nodo [67][48.0,(5,18),63,E,23,50.0,50.0]
Nodo [70][51.0,(5,19),67,E,24,49.0,49.0]
Nodo [73][54.0,(6,19),70,S,25,48.0,48.0]
Nodo [76][55.0,(6,20),73,E,26,47.0,47.0]
Nodo [80][56.0,(6,21),76,E,27,46.0,46.0]
Nodo [83][58.0,(6,22),80,E,28,45.0,45.0]
Nodo [87][61.0,(6,23),83,E,29,44.0,44.0]
Nodo [91][64.0,(7,23),87,S,30,43.0,43.0]
Nodo [96][66.0,(7,24),91,E,31,42.0,42.0]
Nodo [99][67.0,(8,24),96,S,32,41.0,41.0]
Nodo [102][68.0,(9,24),99,S,33,40.0,40.0]
Nodo [105][70.0,(10,24),102,S,34,39.0,39.0]
Nodo [108][71.0,(11,24),105,S,35,38.0,38.0]
Nodo [111][73.0,(12,24),108,S,36,37.0,37.0]
Nodo [113][76.0,(13,24),111,S,37,36.0,36.0]
Nodo [115][78.0,(14,24),113,S,38,35.0,35.0]
Nodo [118][81.0,(15,24),115,S,39,34.0,34.0]
Nodo [121][83.0,(15,23),118,O,40,35.0,35.0]
Nodo [124][84.0,(15,22),121,O,41,36.0,36.0]
Nodo [131][86.0,(15,21),124,O,42,37.0,37.0]
Nodo [142][88.0,(16,21),131,S,43,36.0,36.0]
Nodo [145][89.0,(16,22),142,E,44,35.0,35.0]
Nodo [147][91.0,(16,23),145,E,45,34.0,34.0]
Nodo [150][95.0,(16,24),147,E,46,33.0,33.0]
Nodo [153][98.0,(17,24),150,S,47,32.0,32.0]
Nodo [156][101.0,(18,24),153,S,48,31.0,31.0]
Nodo [159][102.0,(19,24),156,S,49,30.0,30.0]
Nodo [162][105.0,(20,24),159,S,50,29.0,29.0]
Nodo [164][106.0,(21,24),162,S,51,28.0,28.0]
Nodo [167][109.0,(22,24),164,S,52,27.0,27.0]
Nodo [169][110.0,(23,24),167,S,53,26.0,26.0]
Nodo [172][111.0,(24,24),169,S,54,25.0,25.0]
Nodo [175][112.0,(25,24),172,S,55,24.0,24.0]
Nodo [178][113.0,(26,24),175,S,56,23.0,23.0]
Nodo [180][114.0,(27,24),178,S,57,22.0,22.0]
Nodo [183][115.0,(28,24),180,S,58,21.0,21.0]
Nodo [186][116.0,(29,24),183,S,59,20.0,20.0]
Nodo [189][117.0,(30,24),186,S,60,19.0,19.0]
Nodo [193][119.0,(30,23),189,O,61,20.0,20.0]
Nodo [197][121.0,(31,23),193,S,62,19.0,19.0]
Nodo [200][122.0,(32,23),197,S,63,18.0,18.0]
Nodo [203][125.0,(32,24),200,E,64,17.0,17.0]
Nodo [206][126.0,(33,24),203,S,65,16.0,16.0]
Nodo [209][130.0,(34,24),206,S,66,15.0,15.0]
Nodo [212][131.0,(35,24),209,S,67,14.0,14.0]
Nodo [214][134.0,(36,24),212,S,68,13.0,13.0]
Nodo [217][135.0,(37,24),214,S,69,12.0,12.0]
Nodo [220][138.0,(38,24),217,S,70,11.0,11.0]
Nodo [222][139.0,(39,24),220,S,71,10.0,10.0]
Nodo [225][143.0,(39,23),222,O,72,11.0,11.0]
Nodo [228][144.0,(40,23),225,S,73,10.0,10.0]
Nodo [231][146.0,(41,23),228,S,74,9.0,9.0]
Nodo [235][147.0,(42,23),231,S,75,8.0,8.0]
Nodo [244][150.0,(43,23),235,S,76,7.0,7.0]
Nodo [247][152.0,(43,24),244,E,77,6.0,6.0]
Nodo [249][155.0,(44,24),247,S,78,5.0,5.0]
Nodo [252][158.0,(45,24),249,S,79,4.0,4.0]
Nodo [255][159.0,(46,24),252,S,80,3.0,3.0]
Nodo [258][161.0,(47,24),255,S,81,2.0,2.0]
Nodo [260][162.0,(48,24),258,S,82,1.0,1.0]
Nodo [263][163.0,(49,24),260,S,83,0.0,0.0]
