[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,103.0,103.0]
Nodo [1][3.0,(1,0),0,S,1,102.0,105.0]
Nodo [3][4.0,(1,1),1,E,2,101.0,105.0]
Nodo [7][7.0,(2,1),3,S,3,100.0,107.0]
Nodo [16][8.0,(3,1),7,S,4,99.0,107.0]
Nodo [24][9.0,(3,2),16,E,5,98.0,107.0]
Nodo [27][10.0,(3,3),24,E,6,97.0,107.0]
Nodo [32][11.0,(4,3),27,S,7,96.0,107.0]
Nodo [47][12.0,(5,3),32,S,8,95.0,107.0]
Nodo [67][13.0,(6,3),47,S,9,94.0,107.0]
Nodo [83][15.0,(7,3),67,S,10,93.0,108.0]
Nodo [90][16.0,(8,3),83,S,11,92.0,108.0]
Nodo [92][19.0,(8,4),90,E,12,91.0,110.0]
Nodo [143][20.0,(9,4),92,S,13,90.0,110.0]
Nodo [155][21.0,(9,5),143,E,14,89.0,110.0]
Nodo [159][22.0,(10,5),155,S,15,88.0,110.0]
Nodo [168][23.0,(10,6),159,E,16,87.0,110.0]
Nodo [171][26.0,(11,6),168,S,17,86.0,112.0]
Nodo [244][28.0,(12,6),171,S,18,85.0,113.0]
Nodo [306][29.0,(12,7),244,E,19,84.0,113.0]
Nodo [310][30.0,(13,7),306,S,20,83.0,113.0]
Nodo [317][31.0,(14,7),310,S,21,82.0,113.0]
Nodo [323][32.0,(14,6),317,O,22,83.0,115.0]
Nodo [458][33.0,(15,6),323,S,23,82.0,115.0]
Nodo [467][34.0,(15,7),458,E,24,81.0,115.0]
Nodo [471][35.0,(16,7),467,S,25,80.0,115.0]
Nodo [486][36.0,(16,8),471,E,26,79.0,115.0]
Nodo [489][37.0,(17,8),486,S,27,78.0,115.0]
Nodo [499][38.0,(18,8),489,S,28,77.0,115.0]
Nodo [505][39.0,(19,8),499,S,29,76.0,115.0]
Nodo [515][40.0,(19,9),505,E,30,75.0,115.0]
Nodo [518][41.0,(20,9),515,S,31,74.0,115.0]
Nodo [525][43.0,(20,10),518,E,32,73.0,116.0]
Nodo [553][47.0,(20,11),525,E,33,72.0,119.0]
Nodo [798][48.0,(21,11),553,S,34,71.0,119.0]
Nodo [811][51.0,(22,11),798,S,35,70.0,121.0]
Nodo [1107][52.0,(23,11),811,S,36,69.0,121.0]
Nodo [1117][53.0,(24,11),1107,S,37,68.0,121.0]
Nodo [1123][54.0,(24,12),1117,E,38,67.0,121.0]
Nodo [1128][55.0,(25,12),1123,S,39,66.0,121.0]
Nodo [1135][56.0,(25,13),1128,E,40,65.0,121.0]
