[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,98.0,0.0]
Nodo [1][2.0,(1,0),0,S,1,97.0,2.0]
Nodo [4][3.0,(2,0),1,S,2,96.0,3.0]
Nodo [7][6.0,(3,0),4,S,3,95.0,6.0]
Nodo [16][7.0,(3,1),7,E,4,94.0,7.0]
Nodo [22][8.0,(3,2),16,E,5,93.0,8.0]
Nodo [30][9.0,(3,3),22,E,6,92.0,9.0]
Nodo [39][10.0,(4,3),30,S,7,91.0,10.0]
Nodo [48][11.0,(5,3),39,S,8,90.0,11.0]
Nodo [66][12.0,(6,3),48,S,9,89.0,12.0]
Nodo [78][13.0,(7,3),66,S,10,88.0,13.0]
Nodo [98][14.0,(7,4),78,E,11,87.0,14.0]
Nodo [109][15.0,(7,5),98,E,12,86.0,15.0]
Nodo [130][16.0,(7,6),109,E,13,85.0,16.0]
Nodo [149][17.0,(7,7),130,E,14,84.0,17.0]
Nodo [172][18.0,(8,7),149,S,15,83.0,18.0]
Nodo [211][19.0,(9,7),172,S,16,82.0,19.0]
Nodo [257][20.0,(9,8),211,E,17,81.0,20.0]
Nodo [272][22.0,(10,8),257,S,18,80.0,22.0]
Nodo [315][23.0,(11,8),272,S,19,79.0,23.0]
Nodo [345][24.0,(11,9),315,E,20,78.0,24.0]
Nodo [377][25.0,(12,9),345,S,21,77.0,25.0]
Nodo [420][26.0,(12,10),377,E,22,76.0,26.0]
Nodo [444][27.0,(12,11),420,E,23,75.0,27.0]
Nodo [489][28.0,(12,12),444,E,24,74.0,28.0]
Nodo [529][29.0,(13,12),489,S,25,73.0,29.0]
Nodo [556][30.0,(14,12),529,S,26,72.0,30.0]
Nodo [596][31.0,(14,13),556,E,27,71.0,31.0]
Nodo [648][32.0,(14,14),596,E,28,70.0,32.0]
Nodo [699][33.0,(15,14),648,S,29,69.0,33.0]
Nodo [748][37.0,(15,15),699,E,30,68.0,37.0]
Nodo [971][38.0,(16,15),748,S,31,67.0,38.0]
Nodo [1043][39.0,(16,16),971,E,32,66.0,39.0]
Nodo [1116][40.0,(16,17),1043,E,33,65.0,40.0]
Nodo [1197][41.0,(16,18),1116,E,34,64.0,41.0]
Nodo [1255][42.0,(17,18),1197,S,35,63.0,42.0]
