[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,98.0,0.0]
Nodo [1][2.0,(1,0),0,S,1,97.0,1.0]
Nodo [3][4.0,(1,1),1,E,2,96.0,2.0]
Nodo [6][7.0,(1,2),3,E,3,95.0,3.0]
Nodo [15][11.0,(1,3),6,E,4,94.0,4.0]
Nodo [27][15.0,(1,4),15,E,5,93.0,5.0]
Nodo [43][16.0,(2,4),27,S,6,92.0,6.0]
Nodo [63][17.0,(2,5),43,E,7,91.0,7.0]
Nodo [82][20.0,(2,6),63,E,8,90.0,8.0]
Nodo [107][21.0,(2,7),82,E,9,89.0,9.0]
Nodo [134][24.0,(2,8),107,E,10,88.0,10.0]
Nodo [163][26.0,(2,9),134,E,11,87.0,11.0]
Nodo [195][27.0,(2,10),163,E,12,86.0,12.0]
Nodo [230][30.0,(3,10),195,S,13,85.0,13.0]
Nodo [273][31.0,(3,11),230,E,14,84.0,14.0]
Nodo [319][32.0,(4,11),273,S,15,83.0,15.0]
Nodo [365][33.0,(4,12),319,E,16,82.0,16.0]
Nodo [404][35.0,(5,12),365,S,17,81.0,17.0]
Nodo [447][38.0,(5,13),404,E,18,80.0,18.0]
Nodo [497][42.0,(5,14),447,E,19,79.0,19.0]
Nodo [559][43.0,(5,15),497,E,20,78.0,20.0]
Nodo [624][45.0,(5,16),559,E,21,77.0,21.0]
Nodo [684][46.0,(5,17),624,E,22,76.0,22.0]
Nodo [748][47.0,(5,18),684,E,23,75.0,23.0]
Nodo [822][51.0,(5,19),748,E,24,74.0,24.0]
Nodo [897][52.0,(5,20),822,E,25,73.0,25.0]
Nodo [967][55.0,(5,21),897,E,26,72.0,26.0]
Nodo [1038][56.0,(5,22),967,E,27,71.0,27.0]
Nodo [1115][58.0,(5,23),1038,E,28,70.0,28.0]
Nodo [1194][60.0,(6,23),1115,S,29,69.0,29.0]
Nodo [1277][61.0,(6,24),1194,E,30,68.0,30.0]
Nodo [1370][64.0,(6,25),1277,E,31,67.0,31.0]
Nodo [1472][66.0,(6,26),1370,E,32,66.0,32.0]
Nodo [1566][67.0,(7,26),1472,S,33,65.0,33.0]
Nodo [1657][69.0,(7,27),1566,E,34,64.0,34.0]
Nodo [1754][73.0,(7,28),1657,E,35,63.0,35.0]
Nodo [1857][75.0,(8,28),1754,S,36,62.0,36.0]
Nodo [1967][76.0,(9,28),1857,S,37,61.0,37.0]
Nodo [2083][80.0,(9,29),1967,E,38,60.0,38.0]
Nodo [2186][83.0,(10,29),2083,S,39,59.0,39.0]
Nodo [2297][84.0,(10,30),2186,E,40,58.0,40.0]
Nodo [2416][85.0,(10,31),2297,E,41,57.0,41.0]
Nodo [2536][86.0,(10,32),2416,E,42,56.0,42.0]
Nodo [2658][87.0,(10,33),2536,E,43,55.0,43.0]
Nodo [2779][90.0,(11,33),2658,S,44,54.0,44.0]
Nodo [2908][93.0,(12,33),2779,S,45,53.0,45.0]
Nodo [3062][94.0,(13,33),2908,S,46,52.0,46.0]
Nodo [3221][97.0,(13,34),3062,E,47,51.0,47.0]
Nodo [3373][98.0,(14,34),3221,S,48,50.0,48.0]
Nodo [3523][100.0,(15,34),3373,S,49,49.0,49.0]
Nodo [3668][102.0,(16,34),3523,S,50,48.0,50.0]
Nodo [3821][105.0,(17,34),3668,S,51,47.0,51.0]
Nodo [3974][106.0,(17,35),3821,E,52,46.0,52.0]
Nodo [4127][107.0,(17,36),3974,E,53,45.0,53.0]
Nodo [4294][108.0,(18,36),4127,S,54,44.0,54.0]
Nodo [4470][109.0,(19,36),4294,S,55,43.0,55.0]
Nodo [4652][110.0,(20,36),4470,S,56,42.0,56.0]
Nodo [4819][111.0,(20,37),4652,E,57,41.0,57.0]
Nodo [4979][112.0,(21,37),4819,S,58,40.0,58.0]
Nodo [5148][114.0,(22,37),4979,S,59,39.0,59.0]
Nodo [5316][117.0,(22,38),5148,E,60,38.0,60.0]
Nodo [5471][119.0,(22,39),5316,E,61,37.0,61.0]
Nodo [5617][120.0,(23,39),5471,S,62,36.0,62.0]
Nodo [5761][124.0,(23,40),5617,E,63,35.0,63.0]
Nodo [5887][126.0,(24,40),5761,S,64,34.0,64.0]
Nodo [6000][128.0,(24,41),5887,E,65,33.0,65.0]
Nodo [6108][129.0,(24,42),6000,E,66,32.0,66.0]
Nodo [6214][130.0,(25,42),6108,S,67,31.0,67.0]
Nodo [6315][131.0,(26,42),6214,S,68,30.0,68.0]
Nodo [6416][132.0,(26,43),6315,E,69,29.0,69.0]
Nodo [6521][133.0,(27,43),6416,S,70,28.0,70.0]
Nodo [6619][134.0,(28,43),6521,S,71,27.0,71.0]
Nodo [6714][135.0,(29,43),6619,S,72,26.0,72.0]
Nodo [6812][139.0,(30,43),6714,S,73,25.0,73.0]
Nodo [6899][140.0,(30,44),6812,E,74,24.0,74.0]
Nodo [6976][143.0,(31,44),6899,S,75,23.0,75.0]
Nodo [7053][144.0,(32,44),6976,S,76,22.0,76.0]
Nodo [7126][145.0,(33,44),7053,S,77,21.0,77.0]
Nodo [7201][147.0,(34,44),7126,S,78,20.0,78.0]
Nodo [7274][148.0,(35,44),7201,S,79,19.0,79.0]
Nodo [7339][149.0,(35,45),7274,E,80,18.0,80.0]
Nodo [7399][150.0,(36,45),7339,S,81,17.0,81.0]
Nodo [7466][151.0,(37,45),7399,S,82,16.0,82.0]
Nodo [7528][152.0,(38,45),7466,S,83,15.0,83.0]
Nodo [7581][154.0,(39,45),7528,S,84,14.0,84.0]
Nodo [7634][158.0,(40,45),7581,S,85,13.0,85.0]
Nodo [7687][162.0,(41,45),7634,S,86,12.0,86.0]
Nodo [7735][164.0,(42,45),7687,S,87,11.0,87.0]
Nodo [7774][165.0,(43,45),7735,S,88,10.0,88.0]
Nodo [7813][166.0,(44,45),7774,S,89,9.0,89.0]
Nodo [7850][170.0,(45,45),7813,S,90,8.0,90.0]
Nodo [7877][172.0,(45,46),7850,E,91,7.0,91.0]
Nodo [7902][173.0,(46,46),7877,S,92,6.0,92.0]
Nodo [7924][175.0,(46,47),7902,E,93,5.0,93.0]
Nodo [7936][177.0,(46,48),7924,E,94,4.0,94.0]
Nodo [7949][178.0,(46,49),7936,E,95,3.0,95.0]
Nodo [7959][182.0,(47,49),7949,S,96,2.0,96.0]
Nodo [7968][183.0,(48,49),7959,S,97,1.0,97.0]
Nodo [7981][184.0,(49,49),7968,S,98,0.0,98.0]
