[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,73.0,0.0]
Nodo [1][3.0,(0,1),0,E,1,72.0,1.0]
Nodo [3][7.0,(0,2),1,E,2,71.0,2.0]
Nodo [8][10.0,(0,3),3,E,3,70.0,3.0]
Nodo [16][11.0,(0,4),8,E,4,69.0,4.0]
Nodo [28][12.0,(0,5),16,E,5,68.0,5.0]
Nodo [43][13.0,(0,6),28,E,6,67.0,6.0]
Nodo [60][14.0,(0,7),43,E,7,66.0,7.0]
Nodo [79][15.0,(0,8),60,E,8,65.0,8.0]
Nodo [102][18.0,(0,9),79,E,9,64.0,9.0]
Nodo [129][22.0,(0,10),102,E,10,63.0,10.0]
Nodo [162][25.0,(1,10),129,S,11,62.0,11.0]
Nodo [197][26.0,(1,11),162,E,12,61.0,12.0]
Nodo [233][27.0,(2,11),197,S,13,60.0,13.0]
Nodo [278][28.0,(2,12),233,E,14,59.0,14.0]
Nodo [322][30.0,(2,13),278,E,15,58.0,15.0]
Nodo [367][31.0,(3,13),322,S,16,57.0,16.0]
Nodo [415][35.0,(4,13),367,S,17,56.0,17.0]
Nodo [466][38.0,(4,14),415,E,18,55.0,18.0]
Nodo [518][39.0,(5,14),466,S,19,54.0,19.0]
Nodo [574][40.0,(5,15),518,E,20,53.0,20.0]
Nodo [629][44.0,(5,16),574,E,21,52.0,21.0]
Nodo [691][45.0,(6,16),629,S,22,51.0,22.0]
Nodo [763][47.0,(6,17),691,E,23,50.0,23.0]
Nodo [832][48.0,(7,17),763,S,24,49.0,24.0]
Nodo [901][50.0,(8,17),832,S,25,48.0,25.0]
Nodo [974][51.0,(9,17),901,S,26,47.0,26.0]
Nodo [1055][55.0,(10,17),974,S,27,46.0,27.0]
Nodo [1140][59.0,(11,17),1055,S,28,45.0,28.0]
Nodo [1231][63.0,(12,17),1140,S,29,44.0,29.0]
Nodo [1323][67.0,(13,17),1231,S,30,43.0,30.0]
Nodo [1403][68.0,(14,17),1323,S,31,42.0,31.0]
Nodo [1479][69.0,(15,17),1403,S,32,41.0,32.0]
Nodo [1558][70.0,(15,18),1479,E,33,40.0,33.0]
Nodo [1637][73.0,(16,18),1558,S,34,39.0,34.0]
Nodo [1715][75.0,(17,18),1637,S,35,38.0,35.0]
Nodo [1788][77.0,(18,18),1715,S,36,37.0,36.0]
Nodo [1866][78.0,(19,18),1788,S,37,36.0,37.0]
Nodo [1948][81.0,(20,18),1866,S,38,35.0,38.0]
Nodo [2021][82.0,(21,18),1948,S,39,34.0,39.0]
Nodo [2090][83.0,(21,19),2021,E,40,33.0,40.0]
Nodo [2166][86.0,(21,20),2090,E,41,32.0,41.0]
Nodo [2245][87.0,(22,20),2166,S,42,31.0,42.0]
Nodo [2321][88.0,(23,20),2245,S,43,30.0,43.0]
Nodo [2395][89.0,(23,21),2321,E,44,29.0,44.0]
Nodo [2470][90.0,(24,21),2395,S,45,28.0,45.0]
Nodo [2552][92.0,(25,21),2470,S,46,27.0,46.0]
Nodo [2636][93.0,(26,21),2552,S,47,26.0,47.0]
Nodo [2720][96.0,(26,22),2636,E,48,25.0,48.0]
Nodo [2805][97.0,(26,23),2720,E,49,24.0,49.0]
Nodo [2889][100.0,(27,23),2805,S,50,23.0,50.0]
Nodo [2971][101.0,(28,23),2889,S,51,22.0,51.0]
Nodo [3053][104.0,(29,23),2971,S,52,21.0,52.0]
Nodo [3128][106.0,(30,23),3053,S,53,20.0,53.0]
Nodo [3201][108.0,(31,23),3128,S,54,19.0,54.0]
Nodo [3280][109.0,(32,23),3201,S,55,18.0,55.0]
Nodo [3359][112.0,(33,23),3280,S,56,17.0,56.0]
Nodo [3429][114.0,(34,23),3359,S,57,16.0,57.0]
Nodo [3489][117.0,(35,23),3429,S,58,15.0,58.0]
Nodo [3543][119.0,(36,23),3489,S,59,14.0,59.0]
Nodo [3598][120.0,(37,23),3543,S,60,13.0,60.0]
Nodo [3652][121.0,(38,23),3598,S,61,12.0,61.0]
Nodo [3699][122.0,(39,23),3652,S,62,11.0,62.0]
Nodo [3740][123.0,(40,23),3699,S,63,10.0,63.0]
Nodo [3780][125.0,(41,23),3740,S,64,9.0,64.0]
Nodo [3814][126.0,(42,23),3780,S,65,8.0,65.0]
Nodo [3849][129.0,(43,23),3814,S,66,7.0,66.0]
Nodo [3878][131.0,(43,24),3849,E,67,6.0,67.0]
Nodo [3895][134.0,(44,24),3878,S,68,5.0,68.0]
Nodo [3908][137.0,(45,24),3895,S,69,4.0,69.0]
Nodo [3923][138.0,(46,24),3908,S,70,3.0,70.0]
Nodo [3943][140.0,(47,24),3923,S,71,2.0,71.0]
Nodo [3960][141.0,(48,24),3943,S,72,1.0,72.0]
Nodo [3971][142.0,(49,24),3960,S,73,0.0,73.0]
