[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,73.0,0.0]
Nodo [2][3.0,(1,0),0,S,1,72.0,3.0]
Nodo [7][5.0,(2,0),2,S,2,71.0,5.0]
Nodo [13][6.0,(3,0),7,S,3,70.0,6.0]
Nodo [22][7.0,(3,1),13,E,4,69.0,7.0]
Nodo [35][8.0,(4,1),22,S,5,68.0,8.0]
Nodo [52][10.0,(5,1),35,S,6,67.0,10.0]
Nodo [80][11.0,(5,2),52,E,7,66.0,11.0]
Nodo [92][12.0,(6,2),80,S,8,65.0,12.0]
Nodo [110][13.0,(7,2),92,S,9,64.0,13.0]
Nodo [135][14.0,(8,2),110,S,10,63.0,14.0]
Nodo [151][15.0,(8,3),135,E,11,62.0,15.0]
Nodo [164][16.0,(9,3),151,S,12,61.0,16.0]
Nodo [182][17.0,(10,3),164,S,13,60.0,17.0]
Nodo [195][18.0,(11,3),182,S,14,59.0,18.0]
Nodo [229][19.0,(11,4),195,E,15,58.0,19.0]
Nodo [254][21.0,(11,5),229,E,16,57.0,21.0]
Nodo [320][22.0,(11,6),254,E,17,56.0,22.0]
Nodo [346][25.0,(11,7),320,E,18,55.0,25.0]
Nodo [447][26.0,(11,8),346,E,19,54.0,26.0]
Nodo [485][27.0,(12,8),447,S,20,53.0,27.0]
Nodo [532][30.0,(12,9),485,E,21,52.0,30.0]
Nodo [636][31.0,(12,10),532,E,22,51.0,31.0]
Nodo [671][32.0,(13,10),636,S,23,50.0,32.0]
Nodo [711][33.0,(14,10),671,S,24,49.0,33.0]
Nodo [751][34.0,(14,11),711,E,25,48.0,34.0]
Nodo [788][35.0,(15,11),751,S,26,47.0,35.0]
Nodo [848][37.0,(16,11),788,S,27,46.0,37.0]
Nodo [933][38.0,(16,12),848,E,28,45.0,38.0]
Nodo [986][39.0,(17,12),933,S,29,44.0,39.0]
Nodo [1036][40.0,(17,13),986,E,30,43.0,40.0]
Nodo [1088][41.0,(17,14),1036,E,31,42.0,41.0]
Nodo [1144][42.0,(17,15),1088,E,32,41.0,42.0]
Nodo [1212][43.0,(17,16),1144,E,33,40.0,43.0]
Nodo [1261][44.0,(18,16),1212,S,34,39.0,44.0]
Nodo [1318][45.0,(19,16),1261,S,35,38.0,45.0]
Nodo [1393][47.0,(20,16),1318,S,36,37.0,47.0]
Nodo [1531][48.0,(21,16),1393,S,37,36.0,48.0]
Nodo [1594][49.0,(22,16),1531,S,38,35.0,49.0]
Nodo [1648][52.0,(23,16),1594,S,39,34.0,52.0]
Nodo [1833][54.0,(24,16),1648,S,40,33.0,54.0]
Nodo [1959][55.0,(25,16),1833,S,41,32.0,55.0]
Nodo [2023][56.0,(25,17),1959,E,42,31.0,56.0]
Nodo [2065][57.0,(26,17),2023,S,43,30.0,57.0]
Nodo [2119][58.0,(27,17),2065,S,44,29.0,58.0]
Nodo [2170][60.0,(28,17),2119,S,45,28.0,60.0]
Nodo [2277][61.0,(29,17),2170,S,46,27.0,61.0]
Nodo [2319][62.0,(30,17),2277,S,47,26.0,62.0]
Nodo [2380][63.0,(30,18),2319,E,48,25.0,63.0]
Nodo [2436][64.0,(30,19),2380,E,49,24.0,64.0]
Nodo [2480][65.0,(30,20),2436,E,50,23.0,65.0]
Nodo [2551][66.0,(31,20),2480,S,51,22.0,66.0]
Nodo [2618][68.0,(31,21),2551,E,52,21.0,68.0]
Nodo [2702][69.0,(32,21),2618,S,53,20.0,69.0]
Nodo [2751][70.0,(33,21),2702,S,54,19.0,70.0]
Nodo [2786][71.0,(34,21),2751,S,55,18.0,71.0]
Nodo [2856][73.0,(35,21),2786,S,56,17.0,73.0]
Nodo [2963][74.0,(36,21),2856,S,57,16.0,74.0]
Nodo [3028][76.0,(37,21),2963,S,58,15.0,76.0]
Nodo [3117][77.0,(38,21),3028,S,59,14.0,77.0]
Nodo [3189][78.0,(39,21),3117,S,60,13.0,78.0]
Nodo [3220][81.0,(40,21),3189,S,61,12.0,81.0]
Nodo [3382][82.0,(40,22),3220,E,62,11.0,82.0]
Nodo [3434][83.0,(41,22),3382,S,63,10.0,83.0]
Nodo [3488][86.0,(42,22),3434,S,64,9.0,86.0]
Nodo [3612][88.0,(43,22),3488,S,65,8.0,88.0]
Nodo [3704][89.0,(44,22),3612,S,66,7.0,89.0]
Nodo [3737][90.0,(45,22),3704,S,67,6.0,90.0]
Nodo [3775][91.0,(46,22),3737,S,68,5.0,91.0]
Nodo [3802][92.0,(46,23),3775,E,69,4.0,92.0]
Nodo [3830][94.0,(47,23),3802,S,70,3.0,94.0]
Nodo [3888][96.0,(47,24),3830,E,71,2.0,96.0]
Nodo [3940][97.0,(48,24),3888,S,72,1.0,97.0]
Nodo [3954][98.0,(49,24),3940,S,73,0.0,98.0]
