[id_nodo][costo,estado,id_nodo_padre,accion,profundidad,heurística,valor]
Nodo [0][0.0,(0,0),None,None,0,73.0,73.0]
Nodo [2][3.0,(1,0),0,S,1,72.0,75.0]
Nodo [7][5.0,(2,0),2,S,2,71.0,76.0]
Nodo [24][6.0,(3,0),7,S,3,70.0,76.0]
Nodo [36][7.0,(3,1),24,E,4,69.0,76.0]
Nodo [39][8.0,(4,1),36,S,5,68.0,76.0]
Nodo [54][10.0,(5,1),39,S,6,67.0,77.0]
Nodo [72][11.0,(5,2),54,E,7,66.0,77.0]
Nodo [75][12.0,(6,2),72,S,8,65.0,77.0]
Nodo [87][13.0,(7,2),75,S,9,64.0,77.0]
Nodo [96][14.0,(8,2),87,S,10,63.0,77.0]
Nodo [103][15.0,(8,3),96,E,11,62.0,77.0]
Nodo [107][16.0,(9,3),103,S,12,61.0,77.0]
Nodo [113][17.0,(10,3),107,S,13,60.0,77.0]
Nodo [120][18.0,(11,3),113,S,14,59.0,77.0]
Nodo [126][19.0,(11,4),120,E,15,58.0,77.0]
Nodo [129][21.0,(11,5),126,E,16,57.0,78.0]
Nodo [180][22.0,(11,6),129,E,17,56.0,78.0]
Nodo [184][25.0,(11,7),180,E,18,55.0,80.0]
Nodo [281][26.0,(11,8),184,E,19,54.0,80.0]
Nodo [285][27.0,(12,8),281,S,20,53.0,80.0]
Nodo [293][30.0,(12,9),285,E,21,52.0,82.0]
Nodo [520][31.0,(12,10),293,E,22,51.0,82.0]
Nodo [525][32.0,(13,10),520,S,23,50.0,82.0]
Nodo [555][33.0,(14,10),525,S,24,49.0,82.0]
Nodo [583][34.0,(14,11),555,E,25,48.0,82.0]
Nodo [587][35.0,(15,11),583,S,26,47.0,82.0]
Nodo [621][37.0,(16,11),587,S,27,46.0,83.0]
Nodo [735][38.0,(16,12),621,E,28,45.0,83.0]
Nodo [738][39.0,(17,12),735,S,29,44.0,83.0]
Nodo [752][40.0,(17,13),738,E,30,43.0,83.0]
Nodo [756][41.0,(17,14),752,E,31,42.0,83.0]
Nodo [760][42.0,(17,15),756,E,32,41.0,83.0]
Nodo [764][43.0,(17,16),760,E,33,40.0,83.0]
Nodo [769][44.0,(18,16),764,S,34,39.0,83.0]
Nodo [795][45.0,(19,16),769,S,35,38.0,83.0]
Nodo [809][47.0,(20,16),795,S,36,37.0,84.0]
Nodo [896][48.0,(21,16),809,S,37,36.0,84.0]
Nodo [905][49.0,(22,16),896,S,38,35.0,84.0]
Nodo [912][52.0,(23,16),905,S,39,34.0,86.0]
Nodo [1241][54.0,(24,16),912,S,40,33.0,87.0]
Nodo [1427][55.0,(25,16),1241,S,41,32.0,87.0]
Nodo [1434][56.0,(25,17),1427,E,42,31.0,87.0]
Nodo [1438][57.0,(26,17),1434,S,43,30.0,87.0]
Nodo [1442][58.0,(27,17),1438,S,44,29.0,87.0]
Nodo [1449][60.0,(28,17),1442,S,45,28.0,88.0]
Nodo [1565][61.0,(29,17),1449,S,46,27.0,88.0]
Nodo [1591][62.0,(30,17),1565,S,47,26.0,88.0]
Nodo [1607][63.0,(30,18),1591,E,48,25.0,88.0]
Nodo [1611][64.0,(30,19),1607,E,49,24.0,88.0]
Nodo [1615][65.0,(30,20),1611,E,50,23.0,88.0]
Nodo [1619][66.0,(31,20),1615,S,51,22.0,88.0]
Nodo [1635][68.0,(31,21),1619,E,52,21.0,89.0]
Nodo [1794][69.0,(32,21),1635,S,53,20.0,89.0]
Nodo [1805][70.0,(33,21),1794,S,54,19.0,89.0]
Nodo [1819][71.0,(34,21),1805,S,55,18.0,89.0]
Nodo [1834][73.0,(35,21),1819,S,56,17.0,90.0]
Nodo [2045][74.0,(36,21),1834,S,57,16.0,90.0]
Nodo [2057][76.0,(37,21),2045,S,58,15.0,91.0]
Nodo [2164][77.0,(38,21),2057,S,59,14.0,91.0]
Nodo [2175][78.0,(39,21),2164,S,60,13.0,91.0]
Nodo [2178][81.0,(40,21),2175,S,61,12.0,93.0]
Nodo [2441][82.0,(40,22),2178,E,62,11.0,93.0]
Nodo [2445][83.0,(41,22),2441,S,63,10.0,93.0]
Nodo [2453][86.0,(42,22),2445,S,64,9.0,95.0]
Nodo [2725][88.0,(43,22),2453,S,65,8.0,96.0]
Nodo [2883][89.0,(44,22),2725,S,66,7.0,96.0]
Nodo [2889][90.0,(45,22),2883,S,67,6.0,96.0]
Nodo [2896][91.0,(46,22),2889,S,68,5.0,96.0]
Nodo [2903][92.0,(46,23),2896,E,69,4.0,96.0]
Nodo [2907][94.0,(47,23),2903,S,70,3.0,97.0]
Nodo [2977][96.0,(47,24),2907,E,71,2.0,98.0]
Nodo [3166][97.0,(48,24),2977,S,72,1.0,98.0]
Nodo [3173][98.0,(49,24),3166,S,73,0.0,98.0]
